*---------------------------------------------------------------------------*
* Station name: Bologna b. panigale, Italy
* Year: 1990
* Author:                           -99.000: NIL VALUE
* Source: Marco Bindi, Italy
*
* Longitude: 11 19 E, latitude:  44 30 N , altitude: 36 m.
*
* Column  Daily value
* 1       station number
* 2       year
* 3       day
* 4       irradiation                   (kJ m-2 d-1)
* 5       minimum temperature           (degrees Celsius)
* 6       maximum temperature           (degrees Celsius)
* 7       early morning vapour pressure (kPa)
* 8       mean wind speed (height: 2 m) (m s-1)
* 9       precipitation                 (mm d-1)
* Onbruikbaar vanwege teveel ontbrekende  en/of onwaarschijnlijke waarden 
* (hele hoge neerslag)
*---------------------------------------------------------------------------*
   11.32  44.50   36.0   0.  0.
   1 1990  94-99000.   9.0  18.6   1.440    .8   2.0
   1 1990  95-99000.   7.6  17.0   1.230   1.3   1.0
   1 1990  96-99000.   9.0  13.2   1.370   3.3   3.0
   1 1990  97-99000.  11.0  14.4   1.490   1.6  26.0
   1 1990  98-99000.  11.0  19.0   1.640   2.7   2.0
   1 1990  99-99000.   7.8  10.0   1.130   3.3    .0
   1 1990 100-99000.   6.8  16.2   1.000   2.1   1.0
   1 1990 101-99000. -99.0 -99.0  -9.900   1.6    .0
   1 1990 102-99000.   4.6  17.0    .910   1.3    .0
   1 1990 103-99000. -99.0 -99.0  -9.900   1.6    .0
   1 1990 104-99000.   7.1  19.2    .940   1.2    .0
   1 1990 105-99000.   8.2  16.0   1.360    .8   1.0
   1 1990 106-99000.   7.0  15.0   1.110   2.9  13.0
   1 1990 107-99000.   4.8  18.2    .860   1.5    .0
   1 1990 108-99000.   7.0  12.4   1.100   2.9    .0
   1 1990 109-99000. -99.0 -99.0  -9.900   1.9    .0
   1 1990 110-99000.   4.8  15.2   1.110   2.2   1.0
   1 1990 111-99000.   7.0  11.6   1.140   2.4   9.0
   1 1990 112-99000.   4.2  16.8   1.090    .9   3.0
   1 1990 113-99000. -99.0 -99.0  -9.900   2.1   7.0
   1 1990 114-99000.   5.6  20.0    .990   1.6    .0
   1 1990 115-99000.   8.9  21.6   1.080   1.5    .0
   1 1990 116-99000.   8.6  22.8   1.260   2.5    .0
   1 1990 117-99000.  10.0  22.8   1.250   1.2 133.0
   1 1990 118-99000.   9.8  25.0   1.250   2.1 666.0
   1 1990 119-99000.   8.0  21.6   1.100   3.4    .0
   1 1990 120-99000. -99.0 -99.0  -9.900   2.6    .0
   1 1990 121-99000.   7.6  23.6    .950   1.6    .0
   1 1990 122-99000. -99.0 -99.0  -9.900   1.2    .0
   1 1990 123-99000.  11.0  21.8   1.130   2.6    .0
   1 1990 124-99000.   7.4  23.6    .960   1.7    .0
   1 1990 125-99000.   9.8  24.4   1.100   1.8    .0
   1 1990 126-99000.  10.4  25.8   1.060   1.8    .0
   1 1990 127-99000.  10.8  27.2   1.260   1.1    .0
   1 1990 128-99000.  11.3  27.3   1.170   1.2    .0
   1 1990 129-99000.  12.2  28.2   1.250    .4    .0
   1 1990 130-99000.  13.0  29.0   1.080   1.8    .0
   1 1990 131-99000.  13.8  28.0   1.170   2.7    .0
   1 1990 132-99000. -99.0 -99.0  -9.900   2.4    .0
   1 1990 133-99000.  12.2  26.2   1.400   2.2    .0
   1 1990 134-99000. -99.0 -99.0  -9.900   1.7    .0
   1 1990 135-99000. -99.0 -99.0  -9.900    .8    .0
   1 1990 136-99000.  15.4  29.2   1.600    .6    .0
   1 1990 137-99000.  17.2  30.4   1.470   2.1    .0
   1 1990 138-99000.  17.0  28.0   1.660   2.1    .0
   1 1990 139-99000.  15.6  25.0   1.900   1.0   4.0
   1 1990 140-99000.  17.2  22.4   1.860   2.5  26.0
   1 1990 141-99000.  17.0  25.6   1.920   1.6   3.0
   1 1990 142-99000.  14.8  24.2  -9.900    .7    .0
   1 1990 143-99000. -99.0 -99.0  -9.900   1.8    .0
   1 1990 144-99000. -99.0 -99.0  -9.900   3.9    .0
   1 1990 145-99000.  16.4  23.2   1.510   2.1    .0
   1 1990 146-99000.  15.0  18.8   1.610   2.6  15.0
   1 1990 147-99000.  13.9  22.6   1.250   1.2  66.0
   1 1990 148-99000.  11.6  23.0   1.010   1.5    .0
   1 1990 149-99000.   9.8  19.2   1.230   2.1    .0
   1 1990 150-99000.   8.0  21.2    .810   1.9   1.0
   1 1990 151-99000.   9.0  23.8    .720   2.4    .0
   1 1990 152-99000. -99.0 -99.0  -9.900   1.5    .0
   1 1990 153-99000. -99.0  26.2  -9.900   1.4    .0
   1 1990 154-99000.  17.0  25.4   1.730   1.3    .0
   1 1990 155-99000.  15.0  25.4   1.720    .3    .0
   1 1990 156-99000.  14.2  27.0   1.500   1.2    .0
   1 1990 157-99000.  17.4  24.0   2.020   1.2    .0
   1 1990 158-99000.  17.4  24.4   1.980 -99.0   2.0
   1 1990 159-99000.  16.4  26.8   1.570   3.1   1.0
   1 1990 160-99000.  13.2  25.6   1.210   2.2    .0
   1 1990 161-99000.  11.8  23.8   1.390   2.1    .0
   1 1990 162-99000. -99.0 -99.0  -9.900   1.1    .0
   1 1990 163-99000.  13.5  17.8   1.660    .3    .0
   1 1990 164-99000. -99.0 -99.0  -9.900    .3    .0
   1 1990 165-99000.  13.6  24.0   1.550   1.2   1.0
   1 1990 166-99000.  14.5  24.0   1.560   1.2  26.0
   1 1990 167-99000.  13.6  25.4   1.440 -99.0    .0
   1 1990 168-99000.  13.6  28.0   1.650    .4    .0
   1 1990 169-99000.  14.8  27.4   1.570    .9    .0
   1 1990 170-99000.  16.0  28.4   1.800   1.3    .0
   1 1990 171-99000.  16.6  31.2   1.690   2.1    .0
   1 1990 172-99000.  18.2  29.2   1.570   2.1    .0
   1 1990 173-99000. -99.0 -99.0  -9.900   1.9    .0
   1 1990 174-99000.  20.0  30.2   1.730   4.2    .0
   1 1990 175-99000.  15.2  30.0    .000   1.9    .0
   1 1990 174-99000.  20.0  30.2   1.730   4.2    .0
   1 1990 175-99000.  15.2  30.0   1.810    .9    .0
   1 1990 176-99000.  16.6  31.0   1.630    .9    .0
   1 1990 177-99000.  18.2  31.8   1.570   2.6    .0
   1 1990 178-99000.  18.8  33.0   1.720   2.2    .0
   1 1990 179-99000.  20.2  31.4   2.210    .9    .0
   1 1990 180-99000. -99.0 -99.0  -9.900   1.2    .0
   1 1990 181-99000.  20.2  34.8   1.780   1.5    .0
   1 1990 182-99000.  20.0  34.0   1.640   2.6    .0
   1 1990 183-99000.  20.6  30.4   1.690   3.1    .0
   1 1990 184-99000.  17.8  28.0   1.910   1.2    .0
   1 1990 185-99000.  16.8  29.6   1.080   3.0    .0
   1 1990 186-99000.  16.6  31.6   1.450   2.0    .0
   1 1990 187-99000.  16.0  27.0   1.910   2.1    .0
   1 1990 188-99000.  13.8  27.6   1.260   1.8    .0
   1 1990 189-99000.  15.4  23.1   1.100   1.0    .0
   1 1990 190-99000.  17.8  32.4   1.800   2.6    .0
   1 1990 191-99000.  16.4  34.0   1.350   1.4    .0
   1 1990 192-99000.  15.0  25.0   1.420   2.6   2.0
   1 1990 193-99000.  15.2  27.0   1.330    .9    .0
   1 1990 194-99000.  14.8  30.0   1.430    .9    .0
   1 1990 195-99000.  18.8  33.8   1.620   1.5    .0
   1 1990 196-99000.  19.6  31.0   1.960   2.1    .0
   1 1990 197-99000.  19.4  33.4   2.020    .6    .0
   1 1990 198-99000.  21.6  35.0   2.270   1.1    .0
   1 1990 199-99000.  17.2  25.2   1.990   1.7  11.0
   1 1990 200-99000.  15.6  28.2   1.520   1.5  19.0
   1 1990 201-99000.  16.9  30.8   1.470   3.3    .0
   1 1990 202-99000.  17.8  32.2   1.520   2.0    .0
   1 1990 203-99000.  20.8  34.6   1.960    .7    .0
   1 1990 204-99000.  20.6  34.8   2.080   1.0    .0
   1 1990 205-99000.  18.6  31.4   2.690    .7    .0
   1 1990 206-99000.  19.0  29.0   1.890   1.6  10.0
   1 1990 207-99000.  16.8  28.8   1.790 -99.0    .0
   1 1990 208-99000.  17.8  31.2   1.610    .6    .0
   1 1990 209-99000.  19.0  33.2   1.720   2.7    .0
   1 1990 210-99000.  20.6  33.2   2.180   1.2    .0
   1 1990 211-99000.  20.9  28.8   2.490   1.8   3.0
   1 1990 212-99000.  20.0  30.0   2.190   1.0   1.0
   1 1990 213-99000. -99.0 -99.0  -9.900   1.8    .0
   1 1990 214-99000.  20.4  33.6   2.370   1.1    .0
   1 1990 215-99000.  19.8  32.2   1.470   2.1    .0
   1 1990 216-99000.  18.0  31.8   1.720   1.6    .0
   1 1990 217-99000.  17.4  32.2   1.410   2.1    .0
   1 1990 218-99000.  19.8  34.4   2.040    .9    .0
   1 1990 219-99000.  17.6  22.8   2.020   2.1    .0
   1 1990 220-99000.  16.2  24.6   1.850   1.7   1.0
   1 1990 221-99000. -99.0 -99.0  -9.900   1.1    .0
   1 1990 222-99000.  15.0  29.8   1.350   2.1    .0
   1 1990 223-99000.  17.4  32.4   1.530   2.3    .0
   1 1990 224-99000. -99.0 -99.0  -9.900    .8    .0
   1 1990 225-99000.  19.6  32.6   2.070    .5    .0
   1 1990 226-99000. -99.0 -99.0  -9.900   1.0    .0
   1 1990 227-99000.  20.8  30.6   1.980   1.9    .0
   1 1990 228-99000. -99.0 -99.0  -9.900   1.0    .0
   1 1990 229-99000.  20.8  32.4   1.720   2.7    .0
   1 1990 230-99000.  18.0  25.4   1.960    .9    .0
   1 1990 231-99000.  16.6  30.4   1.530   1.5    .0
   1 1990 232-99000.  18.0  33.2   1.960    .3    .0
   1 1990 233-99000.  18.0  33.4   1.970   2.1    .0
   1 1990 234-99000.  18.7  28.8   1.570   2.6    .0
   1 1990 235-99000.  15.6  29.0   1.310   1.8    .0
   1 1990 236-99000.  16.4  30.4   1.440   3.2    .0
   1 1990 237-99000.  16.8  33.0   1.440   2.3    .0
   1 1990 238-99000.  18.9  25.0   2.080   1.4    .0
   1 1990 239-99000.  18.6  30.4   2.240   1.8    .0
   1 1990 240-99000.  17.6  31.4   1.900   1.0    .0
   1 1990 241-99000.  18.2  32.2   1.920    .6    .0
   1 1990 242-99000. -99.0 -99.0  -9.900   2.0    .0
   1 1990 243-99000. -99.0 -99.0  -9.900   2.4    .0
   1 1990 244-99000.  18.0  29.0   1.800   2.1    .0
   1 1990 245-99000.  17.0  27.2   1.920   1.5    .0
   1 1990 246-99000.  17.6  27.6   1.740    .4   5.0
   1 1990 247-99000.  18.0  29.8   1.940   2.2    .0
   1 1990 248-99000.  19.6  29.4   1.890    .6    .0
   1 1990 249-99000.  17.0  25.3   1.710   2.0  12.0
   1 1990 250-99000.  15.4  28.6   1.620    .9    .0
   1 1990 251-99000.  14.8  25.8   1.320    .9    .0
   1 1990 252-99000.  11.4  32.2   1.390   2.4    .0
   1 1990 253-99000.  14.0  28.2   1.180   1.7    .0
   1 1990 254-99000. -99.0 -99.0  -9.900   1.8    .0
   1 1990 255-99000. -99.0 -99.0  -9.900   1.3    .0
   1 1990 256-99000. -99.0 -99.0  -9.900    .8    .0
   1 1990 257-99000. -99.0 -99.0  -9.900    .9    .0
   1 1990 258-99000. -99.0 -99.0  -9.900    .9    .0
   1 1990 259-99000. -99.0 -99.0  -9.900    .7    .0
   1 1990 260-99000. -99.0 -99.0  -9.900    .5    .0
   1 1990 261-99000. -99.0 -99.0  -9.900    .9    .0
   1 1990 262-99000. -99.0 -99.0  -9.900   5.0    .0
   1 1990 263-99000. -99.0 -99.0  -9.900    .8    .0
   1 1990 264-99000. -99.0 -99.0  -9.900   1.1    .0
   1 1990 265-99000. -99.0 -99.0  -9.900   1.9    .0
   1 1990 266-99000. -99.0 -99.0  -9.900   1.4    .0
   1 1990 267-99000. -99.0 -99.0  -9.900   3.8    .0
   1 1990 268-99000. -99.0 -99.0  -9.900   1.8    .0
   1 1990 269-99000. -99.0 -99.0  -9.900    .0    .0
   1 1990 270-99000. -99.0 -99.0  -9.900    .8    .0
   1 1990 271-99000. -99.0 -99.0  -9.900   1.4    .0
   1 1990 272-99000. -99.0 -99.0  -9.900    .9    .0
   1 1990 273-99000. -99.0 -99.0  -9.900   1.4    .0
   1 1990 274-99000. -99.0 -99.0  -9.900    .3    .0
   1 1990 275-99000. -99.0 -99.0  -9.900    .4    .0
   1 1990 276-99000. -99.0 -99.0  -9.900   1.6    .0
   1 1990 277-99000. -99.0 -99.0  -9.900   3.7    .0
   1 1990 278-99000. -99.0 -99.0  -9.900   4.1    .0
   1 1990 279-99000. -13.0 -99.0  -9.900    .0    .0
   1 1990 280-99000. -99.0 -99.0  -9.900    .0    .0
   1 1990 281-99000. -99.0 -99.0  -9.900   1.5    .0
   1 1990 282-99000. -99.0 -99.0  -9.900   2.6    .0
   1 1990 283-99000. -99.0 -99.0  -9.900    .9    .0
   1 1990 284-99000. -99.0 -99.0  -9.900    .2    .0
   1 1990 285-99000. -99.0 -99.0  -9.900   1.1    .0
   1 1990 286-99000. -99.0 -99.0  -9.900    .0    .0
   1 1990 287-99000. -99.0 -99.0  -9.900    .8    .0
   1 1990 288-99000. -99.0 -99.0  -9.900    .7    .0
   1 1990 289-99000. -99.0 -99.0  -9.900   2.1    .0
   1 1990 290-99000. -99.0 -99.0  -9.900   1.5 -99.0
   1 1990 291-99000. -99.0 -99.0  -9.900    .3 -99.0
   1 1990 292-99000. -99.0 -99.0  -9.900    .9 -99.0
   1 1990 293-99000. -99.0 -99.0  -9.900   2.0 -99.0
   1 1990 294-99000. -99.0 -99.0  -9.900   2.1 -99.0
   1 1990 295-99000. -99.0 -99.0  -9.900   4.2 -99.0
   1 1990 296-99000. -99.0 -99.0  -9.900    .3 -99.0
   1 1990 297-99000. -99.0 -99.0  -9.900    .0 -99.0
   1 1990 298-99000. -99.0 -99.0  -9.900    .0 -99.0
   1 1990 299-99000. -99.0 -99.0  -9.900   2.1 -99.0
   1 1990 300-99000. -99.0 -99.0  -9.900    .5 -99.0
   1 1990 301-99000. -99.0 -99.0  -9.900    .9 -99.0
   1 1990 302-99000. -99.0 -99.0  -9.900    .9 -99.0
   1 1990 303-99000. -99.0 -99.0  -9.900   1.5 -99.0
   1 1990 304-99000. -99.0 -99.0  -9.900    .3 -99.0
   1 1990 305-99000. -99.0 -99.0  -9.900   1.4 -99.0
   1 1990 306-99000. -99.0 -99.0  -9.900    .3 -99.0
   1 1990 307-99000. -99.0 -99.0  -9.900   2.6 -99.0
   1 1990 308-99000.   6.8  13.4   1.020   1.5    .0
   1 1990 309-99000.   3.6  13.6    .760    .6    .0
   1 1990 310-99000. -99.0 -99.0  -9.900    .0    .0
   1 1990 311-99000.   1.3   9.8  -9.900    .6   3.0
   1 1990 312-99000.    .9  11.3  -9.900    .9    .0
   1 1990 313-99000.    .2   9.8  -9.900 -99.0    .0
   1 1990 314-99000.    .8   8.4    .740    .0    .0
   1 1990 315-99000.   2.6   7.2    .800    .0    .0
   1 1990 316-99000.   6.0   8.8    .980    .6   2.0
   1 1990 317-99000.   3.2  12.2    .870    .9    .0
   1 1990 318-99000.   2.0   7.2    .870    .0    .0
   1 1990 319-99000. -99.0 -99.0  -9.900    .3 -99.0
   1 1990 320-99000.   3.0  14.0    .840   1.7    .0
   1 1990 321-99000.   4.6  14.2    .860    .9    .0
   1 1990 322-99000.   2.0 -99.0  -9.900    .0 800.0
   1 1990 323-99000.    .0  11.8    .880    .0    .0
   1 1990 324-99000.   3.8   6.8    .930    .0    .0
   1 1990 325-99000.   5.6  17.2   1.380   1.8    .0
   1 1990 326-99000.  13.0  19.8  -9.900   3.4    .0
   1 1990 327-99000.   7.6  17.4    .630   1.5   2.0
   1 1990 328-99000.   6.2  14.0  -9.900   3.3    .0
   1 1990 329-99000. -99.0 -99.0  -9.900   3.3 -99.0
   1 1990 330-99000.   3.8  10.8  -9.900   1.6    .0
   1 1990 331-99000. -99.0 -99.0  -9.900    .9 -99.0
   1 1990 332-99000.   4.0  10.6    .880    .6    .0
   1 1990 333-99000. -99.0 -99.0  -9.900    .5 -99.0
   1 1990 334-99000. -99.0 -99.0  -9.900   2.7 -99.0
   1 1990 335-99000.   7.0  11.1  -9.900   3.1  40.0
   1 1990 336-99000.   2.2   6.0  -9.900   1.0  36.0
   1 1990 337-99000. -99.0   6.2  -9.900    .4    .0
   1 1990 338-99000.   2.2   5.0  -9.900   2.3    .0
   1 1990 339-99000. -99.0   6.2  -9.900    .4    .0
   1 1990 340-99000.    .8   7.8    .460    .8    .0
   1 1990 341-99000.   3.6   6.4  -9.900    .3    .0
   1 1990 342-99000. -99.0 -99.0  -9.900    .0    .0
   1 1990 343-99000.   1.4   9.8    .930   3.8 -99.0
   1 1990 344-99000. -99.0 -99.0  -9.900   1.3 -99.0
   1 1990 345-99000. -99.0 -99.0  -9.900    .3 -99.0
   1 1990 346-99000.   1.4   7.2    .700    .3    .0
   1 1990 347-99000.    .6   4.2  -9.900   2.9    .0
   1 1990 348-99000. -99.0 -99.0  -9.900   2.0 -99.0
   1 1990 349-99000.   2.0   3.2  -9.900    .0    .0
   1 1990 350-99000.   1.2   2.6  -9.900    .8    .0
   1 1990 351-99000.   2.0   2.2  -9.900    .5    .0
   1 1990 352-99000.   1.0   4.0    .650    .5 -99.0
   1 1990 353-99000.   2.6   4.2  -9.900    .2 -99.0
   1 1990 354-99000.  -3.0 -99.0  -9.900    .7 -99.0
   1 1990 355-99000.   3.0   5.0  -9.900    .0    .0
   1 1990 356-99000.   4.6   5.0  -9.900    .0    .0
   1 1990 357-99000.  -3.0 -99.0  -9.900    .0 -99.0
   1 1990 358-99000. -99.0 -99.0  -9.900   1.2 -99.0
   1 1990 359-99000.    .2   1.0    .620 -99.0 -99.0
   1 1990 360-99000.    .5   1.0  -9.900    .0 501.0
   1 1990 361-99000.    .4   3.0    .650    .4   4.0
   1 1990 362-99000. -99.0 -99.0  -9.900    .3    .0
   1 1990 363-99000.   2.4   5.8  -9.900    .4    .0

