*---------------------------------------------------------------------*
*                                                                     *
* Wageningen weather                                                  *
*                                                                     *
* Longitude (east), Latitude (north), Altitude (m) of weather station *
*                                                                     *
* column  Daily weather                                               *
* 1       Year                                                        *
* 2       Day                                                         *
* 3       Minimum temperature                      (degr. C.)         *
* 4       Maximum temperature                      (degr. C.)         *
* 5       Daily total global radiation             (MJ/m2/day)        *
* 6       Rainfall                                 (mm)               *
* 7       Vapour pressure at 9.00 h in the morning (mbar)             *
* 8       Windspeed  (daily average)               (m/s)              *
*---------------------------------------------------------------------*
 5, 52, 0
76 103  -1.7  16.4 19.80   0.0  5.5  1.3
76 104   3.9  11.7  7.76   0.0  8.3  1.6
76 105   0.1  17.4 16.26   0.0  7.6  2.6
76 106   2.8  13.6  9.94   0.0  8.3  2.2
76 107   1.9  17.6 18.18   0.0  8.4  1.0
76 108   0.4  19.5 21.33   0.0  7.8  1.5
76 109   6.4  19.4 19.70   0.0  8.4  3.5
76 110   4.2  18.4 22.24   0.0  6.2  3.6
76 111   2.9  13.4 10.86   0.0  7.5  2.3
76 112   0.3   9.7 18.11   0.0  4.4  3.2
76 113  -2.3   8.0 18.35   0.0  4.7  3.1
76 114  -3.7  11.3 18.21   0.0  4.4  4.8
76 115   1.5  15.2 16.41   0.0  5.0  4.3
76 116   1.5  15.8 24.47   0.0  5.6  3.7
76 117  -3.7   9.8 12.60   0.5  5.7  3.0
76 118  -5.1   8.5 16.77   0.0  3.9  2.0
76 119  -6.7  10.8 22.07   0.0  5.0  1.3
76 120   0.6  12.2 13.43   0.0  6.4  1.5
76 121  -2.7  14.9 18.42   0.0  5.7  1.3
76 122   5.2  12.5  7.15   0.3  8.3  2.7
76 123   6.6  11.4  5.20   0.4 10.0  3.2
76 124   4.4  13.5  9.85   1.7  8.8  3.9
76 125   1.7  19.1 16.47   0.0  9.3  1.3
76 126   7.2  25.7 22.67   0.0  9.9  2.1
76 127  12.6  28.4 22.30   0.0 10.7  3.3
76 128  15.0  30.0 21.55   0.0 12.6  2.0
76 129  12.8  29.5 23.66   0.0  9.7  1.9
76 130   9.9  30.2 21.16   0.0 12.6  2.1
76 131   9.9  17.9 23.27   3.8  8.5  2.3
76 132   7.3  15.2  6.50   0.0 10.5  3.7
76 133   1.1  11.5 13.55   5.5  8.1  3.3
76 134   1.3  16.5 20.70   1.7  6.9  1.5
76 135   7.0  21.4 25.30   0.0  7.9  2.9
76 136   4.4  18.3 22.72   0.0  8.6  2.5
76 137   3.6  23.9 25.95   0.0  8.5  2.5
76 138  12.9  25.1 22.49   0.0 11.8  2.4
76 139   8.0  16.2  9.32   4.8 12.9  1.7
76 140   6.6  16.6 15.25   0.6 10.4  2.7
76 141   6.9  14.9 16.47   2.7  9.6  2.8
76 142   5.0  19.1 19.92   3.6 10.0  1.0
76 143   2.0  21.1 26.81   0.0  9.0  1.9
76 144   4.6  18.2 25.60   0.0  6.6  2.6
76 145   1.5  20.0 22.65   0.0  8.5  1.7
76 146   7.4  12.9 12.86   0.5 10.5  4.1
76 147   8.5  13.5  7.24   6.1 11.3  4.2
76 148   3.7  16.0 18.19   0.2  9.6  0.9
