!************************** #file "WAG75.DAT" ***************************!
!************************************************************************!
!* Wageningen weather 1975                                              *!
!*                                                                      *!
!* Longitude (east), Latitude (north), Altitude (m) of weather station  *!
!*                                                                      *!
!* column  Daily weather                                                *!
!* 1       Year                                                         *!
!* 2       Day                                                          *!
!* 3       Minimum temperature                      (øC.)               *!
!* 4       Maximum temperature                      (øC.)               *!
!* 5       Daily total global radiation             (MJ/m2/day)         *!
!* 6       Rainfall                                 (mm)                *!
!* 7       Vapour pressure at 9.00 h in the morning (mbar)              *!
!* 8       Windspeed  (daily average)               (m/s)               *!
!************************************************************************!
 5, 52, 0
75  88  -0.4   5.4  9.05   1.9  5.3  3.6
75  89  -1.6   6.7 12.04   3.9  4.5  1.4
75  90  -3.5   7.4 17.61   0.0  3.7  1.6
75  91   0.7   6.6  9.75   0.8  5.0  2.2
75  92  -0.3   6.0  5.49   3.3  4.8  3.1
75  93  -2.0   7.9 12.15   1.1  4.2  0.8
75  94  -0.2   3.4  5.35   0.6  5.5  3.4
75  95  -2.5   6.7  9.67   4.6  4.1  3.1
75  96  -2.6   7.9 10.35   0.3  3.7  1.5
75  97  -1.5   6.0  9.30   0.1  4.5  4.5
75  98   2.3   6.3 11.30   3.0  5.4  5.7
75  99  -1.5   6.0  6.96   3.2  4.4  2.9
75 100  -2.3   6.3 13.94   2.6  3.9  1.6
75 101   0.0   6.0  3.71   3.2  5.3  2.5
75 102   4.0   9.0  3.32   0.4  7.4  3.2
75 103   3.6  10.6  9.30   1.2  6.2  1.5
75 104   8.2  11.5  4.64   2.0  9.8  3.7
75 105   6.6  10.2  4.90   3.8  8.6  2.9
75 106   2.0   8.4  3.93   7.4  6.1  2.3
75 107  -0.1  11.7 14.38   0.1  4.7  2.4
75 108   9.6  16.6  7.94   4.6 10.3  3.1
75 109   7.2  12.6  3.56   0.8  8.4  3.1
75 110   2.6  14.5 16.62   3.2  5.8  1.9
75 111   1.0  16.6 21.93   0.0  4.3  1.1
75 112   4.1  20.0 19.65   0.0  5.7  1.0
75 113   5.6  14.7 11.80   0.0  8.1  3.0
75 114   3.0  12.9 11.80   0.0  6.6  2.5
75 115   1.6  12.9 23.65   0.0  5.2  3.2
75 116   7.5  11.4  8.18   0.1  8.6  2.4
75 117   7.0  14.4 10.93   0.0  8.4  1.4
75 118   8.9  17.1 13.00   1.3  9.4  1.9
75 119   8.5  22.5 18.56   0.0  7.1  3.0
75 120   4.6  13.0 17.69   9.2  6.3  3.1
75 121   3.6  14.8 17.48   0.0  4.9  4.0
